train_loss,val_loss,train_spec_loss,val_spec_loss,train_human_loss,val_human_loss
1.6044460787611492,0.5249291529258092,0.41546028650413125,0.13262469867865245,1.1889857893525544,0.39230445424715676
0.9214844284421306,0.37416492675741514,0.23364726176201286,0.1072025346259276,0.6878371691425978,0.26696239213148754
0.5996345426824133,0.29852523456017177,0.17014191981594443,0.1137894108891487,0.4294926229611797,0.18473582367102306
0.42670781771510335,0.2736154501636823,0.13108751019936496,0.08282841891050338,0.2956203056530932,0.19078703125317892
0.3359501964207423,0.2525847998758157,0.08576109316357869,0.06564804092049599,0.25018910201013844,0.18693675895531972
0.18171744680000565,0.26502798466632765,0.04611545447970472,0.08182159631202618,0.13560199182405594,0.18320638835430145
0.13797965342715635,0.32919449818631014,0.03740000290306822,0.0808844905346632,0.10057965070956339,0.24831000765164693
0.12312581134423362,0.25821073750654855,0.028572090147694542,0.07095177148779233,0.09455372064011329,0.18725896601875622
0.06906188842524791,0.31192635774301986,0.014823913746868592,0.07926782895810902,0.05423797502861184,0.23265852878491083
0.04754809667237924,0.31008102347453437,0.0124755399138864,0.08735701590776443,0.03507255683889834,0.2227240075667699
0.04123668658736525,0.316405189037323,0.010871637338807933,0.09180466930071512,0.030365049007340824,0.22460051973660786
0.0332387910555985,0.3391054877390464,0.012577021210868764,0.09288853742182254,0.020661769879259707,0.24621695031722388
0.03751288453941786,0.3263186811779936,0.013130215389290982,0.08853324248145024,0.02438266913261525,0.23778543869654337
0.0302316141433193,0.3335747302820285,0.00654440818026946,0.09243690632283688,0.023687205819997115,0.24113782395919164
0.02908124176240763,0.3140604689717293,0.006512986039802022,0.08681571731964748,0.022568255787225978,0.2272447516520818
